left_entity_id,right_business_id,confidence
61471,14716,1.0
2410,57558,1.0
55221,62191,1.0
12263,74486,1.0
41809,57233,1.0
6690,68671,1.0
28288,65368,1.0
38091,53864,1.0
87197,65925,1.0
74398,79273,1.0
30715,70025,1.0
88157,53907,1.0
63776,70958,1.0
47149,59484,1.0
27425,71356,1.0
46607,67567,1.0
12207,67434,1.0
61989,73418,1.0
33595,74254,1.0
80574,61345,1.0
23632,79248,1.0
58880,61761,1.0
84038,78085,1.0
7688,62978,1.0
35166,66012,1.0
76103,72350,1.0
84799,69788,1.0
47122,57682,1.0
53419,77203,1.0
90656,66651,1.0
86976,62534,1.0
16125,62974,1.0
23838,80781,1.0
54348,80077,1.0
60735,66613,1.0
4465,52729,1.0
13676,55681,1.0
39115,69396,1.0
82987,78890,1.0
4064,73313,1.0
63205,59602,1.0
39730,55318,1.0
16838,63228,1.0
56480,72722,1.0
74750,67443,1.0
35578,60682,1.0
7561,69773,1.0
63267,52218,1.0
66341,69734,1.0
53129,65200,1.0
28799,53514,1.0
78701,80850,1.0
3974,65346,1.0
44772,54761,1.0
70658,55569,1.0
43793,58887,1.0
90918,77675,1.0
31460,52279,1.0
62341,57471,1.0
48317,55500,1.0
35321,54796,1.0
66171,64631,1.0
9772,51576,1.0
6554,78647,1.0
9558,72429,1.0
45529,76022,1.0
48949,74968,1.0
60202,58973,1.0
17719,65821,1.0
5476,58909,1.0
31725,55940,1.0
27447,70244,1.0
67252,80661,1.0
81395,56579,1.0
41732,59354,1.0
21502,77793,1.0
62805,57834,1.0
35377,75320,1.0
92489,62270,1.0
23554,77718,1.0
79998,55302,1.0
7682,65957,1.0
19333,59883,1.0
62129,52793,1.0
64316,65836,1.0
579,55799,1.0
16979,71485,1.0
91361,73299,1.0
21203,79333,1.0
24652,71490,1.0
2037,58031,1.0
28968,75983,1.0
83072,55279,1.0
69609,76528,1.0
39376,78529,1.0
48930,80393,1.0
89982,64406,1.0
53105,73660,1.0
51774,77335,1.0
92520,80710,1.0
71280,62722,1.0
1527,80721,1.0
88239,76679,1.0
90259,53781,1.0
49011,67539,1.0
44494,74188,1.0
74002,54394,1.0
21975,52624,1.0
87789,62448,1.0
2113,73602,1.0
52628,78278,1.0
13785,63115,1.0
83110,80231,1.0
36361,26992,1.0
47811,61588,1.0
63347,77728,1.0
48782,63296,1.0
29144,73499,1.0
37379,76909,1.0
48192,64727,1.0
63338,76345,1.0
19399,79292,1.0
555,69048,1.0
46442,63477,1.0
51262,64358,1.0
74606,71058,1.0
47765,59520,1.0
90606,77722,1.0
31575,60811,1.0
11796,58425,1.0
77764,80115,1.0
72594,76529,1.0
92320,64649,1.0
18870,65965,1.0
78218,52862,1.0
9380,53952,1.0
38908,60170,1.0
11187,74717,1.0
77428,71893,1.0
66199,66484,1.0
31424,71064,1.0
72584,63713,1.0
57941,58338,1.0
36082,36567,1.0
91839,41066,1.0
92145,42267,1.0
89569,48594,1.0
76612,45823,1.0
20859,41100,1.0
79112,46423,1.0
86008,48244,1.0
859,47655,1.0
77690,49190,1.0
14752,47312,1.0
63172,48727,1.0
27505,41493,1.0
50684,41701,1.0
14251,50277,1.0
44444,46275,1.0
37092,46768,1.0
51638,50773,1.0
35047,47838,1.0
68258,41431,1.0
31360,44530,1.0
81973,39712,1.0
67837,48444,1.0
45447,38569,1.0
27434,49597,1.0
69705,53848,1.0
25015,55379,1.0
30688,71300,1.0
1950,69361,1.0
60565,70332,1.0
82374,79941,1.0
42659,77163,1.0
37557,79130,1.0
54292,74349,1.0
40297,64835,1.0
81594,62126,1.0
88950,69098,1.0
24769,73217,1.0
35389,78498,1.0
35689,73426,1.0
50961,55271,1.0
7374,76026,1.0
58058,77125,1.0
58815,70778,1.0
19919,62488,1.0
66290,65587,1.0
50451,65184,1.0
4663,63976,1.0
46383,69440,1.0
93950,74173,1.0
63208,63458,1.0
44755,60960,1.0
94037,53966,1.0
86338,78778,1.0
59124,67145,1.0
27598,54002,1.0
5915,63276,1.0
1003,68036,1.0
28001,66053,1.0
37044,78485,1.0
88086,55278,1.0
37041,52428,1.0
36578,63125,1.0
73649,74900,1.0
67517,79514,1.0
59241,76787,1.0
9197,80636,1.0
46260,71763,1.0
30298,69765,1.0
76631,80388,1.0
87652,74235,1.0
38740,77406,1.0
20643,79952,1.0
48730,51677,1.0
68255,54411,1.0
76529,75710,1.0
63870,79097,1.0
93126,59902,1.0
27347,72161,1.0
33726,56853,1.0
87439,75678,1.0
84013,73064,1.0
74204,71283,1.0
26729,73240,1.0
73230,80439,1.0
12338,68025,1.0
79960,67943,1.0
47002,53273,1.0
91959,52248,1.0
79894,62988,1.0
41551,60720,1.0
47573,66072,1.0
34395,57274,1.0
31339,57153,1.0
3040,61582,1.0
39148,77522,1.0
15540,76001,1.0
51337,65558,1.0
58134,75880,1.0
6085,79469,1.0
9333,57823,1.0
88636,74587,1.0
45399,59677,1.0
46002,60174,1.0
11055,77505,1.0
77434,67158,1.0
48599,76921,1.0
88876,54260,1.0
51047,70375,1.0
91341,75893,1.0
36250,62174,1.0
22025,52191,1.0
879,67677,1.0
9571,75308,1.0
37560,71430,1.0
65163,80754,1.0
30346,58096,1.0
66135,53804,1.0
41593,57763,1.0
61545,55293,1.0
46496,70479,1.0
25967,72960,1.0
82934,68077,1.0
88843,79468,1.0
65891,59279,1.0
41734,52051,1.0
4217,70984,1.0
56457,73878,1.0
20221,78398,1.0
507,79724,1.0
63014,64803,1.0
83298,68706,1.0
20869,53389,1.0
715,74025,1.0
41726,78424,1.0
31868,78706,1.0
12044,75292,1.0
22601,74764,1.0
11443,76986,1.0
36915,68914,1.0
56634,78966,1.0
4702,53915,1.0
85849,74794,1.0
63685,66805,1.0
87450,59337,1.0
67312,62384,1.0
19324,54620,1.0
84479,78489,1.0
3211,54107,1.0
8445,76425,1.0
18192,56200,1.0
79974,52157,1.0
68168,79776,1.0
85097,69740,1.0
55086,52792,1.0
9074,69610,1.0
80806,76935,1.0
93019,54090,1.0
82803,71341,1.0
2717,72375,1.0
46257,68234,1.0
31512,64460,1.0
11128,53477,1.0
1289,80394,1.0
33426,56795,1.0
75418,70249,1.0
78787,54519,1.0
87601,62752,1.0
3687,54930,1.0
86956,70287,1.0
62113,51388,1.0
29869,79699,1.0
26672,71769,1.0
70022,73738,1.0
91503,53009,1.0
69430,77095,1.0
33505,77122,1.0
93515,65003,1.0
11554,74366,1.0
27095,75864,1.0
90498,77876,1.0
27074,64624,1.0
20284,80335,1.0
55270,68904,1.0
14999,70425,1.0
38702,71408,1.0
75066,79137,1.0
42336,74198,1.0
72258,67360,1.0
17799,73338,1.0
15578,74776,1.0
72010,77289,1.0
75232,75311,1.0
26075,73987,1.0
84852,63987,1.0
24505,53510,1.0
1433,58230,1.0
28350,70087,1.0
82019,73808,1.0
90271,70309,1.0
50423,52983,1.0
93796,66065,1.0
36576,52940,1.0
77423,52313,1.0
64158,52314,1.0
69378,53640,1.0
26204,61074,1.0
26503,68377,1.0
73376,74561,1.0
6828,78646,1.0
79169,76578,1.0
81256,74278,1.0
8136,69261,1.0
48664,74125,1.0
51193,64299,1.0
32573,68932,1.0
19727,52731,1.0
91579,70702,1.0
10002,60389,1.0
77282,56326,1.0
18614,75288,1.0
7722,62333,1.0
87957,75766,1.0
74835,52064,1.0
58281,79314,1.0
71255,63152,1.0
40166,66943,1.0
43217,68372,1.0
3611,56887,1.0
65509,56549,1.0
23111,58241,1.0
94035,72787,1.0
33290,56577,1.0
24147,68832,1.0
26723,72683,1.0
2207,56752,1.0
92291,72959,1.0
559,55294,1.0
45404,78516,1.0
44657,58416,1.0
20515,79005,1.0
29546,70751,1.0
23483,79523,1.0
67094,59001,1.0
79342,56949,1.0
83093,64496,1.0
447,63676,1.0
58662,76748,1.0
33033,75249,1.0
42090,77018,1.0
10131,79654,1.0
3606,65171,1.0
53394,70999,1.0
29110,66409,1.0
93434,78559,1.0
44930,68385,1.0
70483,61847,1.0
39971,62733,1.0
26297,74502,1.0
22196,53783,1.0
91664,76908,1.0
30110,72368,1.0
19694,61830,1.0
90728,68581,1.0
17412,56916,1.0
92198,55969,1.0
48705,55920,1.0
70945,79722,1.0
69448,61162,1.0
16708,73039,1.0
93478,54383,1.0
19228,69464,1.0
90351,70938,1.0
36417,59386,1.0
50337,62830,1.0
40907,80031,1.0
88267,80003,1.0
5065,77918,1.0
33931,66612,1.0
91684,68760,1.0
5416,67400,1.0
71640,74789,1.0
46355,63687,1.0
46136,62258,1.0
14748,74853,1.0
85080,59416,1.0
75719,71534,1.0
25212,65238,1.0
49558,70915,1.0
85407,65745,1.0
17920,74721,1.0
55923,72239,1.0
89678,59036,1.0
40492,78864,1.0
22906,76191,1.0
49128,57036,1.0
21370,78032,1.0
17737,70046,1.0
39462,66025,1.0
6410,58315,1.0
90804,72788,1.0
38029,53778,1.0
76871,70722,1.0
71567,77005,1.0
70176,66267,1.0
32928,62643,1.0
57698,37088,1.0
39106,47496,1.0
17123,44865,1.0
29125,36588,1.0
44179,35814,1.0
76491,27939,1.0
86499,35968,1.0
78393,33490,1.0
60799,28582,1.0
27177,35995,1.0
11955,27821,1.0
92756,28126,1.0
32041,29353,1.0
9261,31233,1.0
87735,27809,1.0
23128,28538,1.0
50745,35397,1.0
73946,36464,1.0
90348,29536,1.0
70053,35353,1.0
32173,35181,1.0
3804,31962,1.0
3253,27046,1.0
88000,31620,1.0
22988,33070,1.0
17128,34745,1.0
19572,34711,1.0
73847,29204,1.0
89086,34337,1.0
36972,28174,1.0
69653,34825,1.0
87229,30585,1.0
14623,31290,1.0
34223,26871,1.0
32218,29953,1.0
61936,31536,1.0
65804,35468,1.0
45118,32029,1.0
60989,32386,1.0
81509,33906,1.0
39255,29160,1.0
47838,36466,1.0
80803,27242,1.0
80024,36003,1.0
622,34070,1.0
45836,31220,1.0
19200,34917,1.0
48598,36445,1.0
75951,32361,1.0
29486,30500,1.0
84026,29606,1.0
23129,27148,1.0
44984,34835,1.0
18128,34655,1.0
8280,29698,1.0
58489,36156,1.0
16716,31874,1.0
6814,29414,1.0
43599,33322,1.0
7338,29427,1.0
2524,32135,1.0
20744,28897,1.0
66709,33750,1.0
26009,28056,1.0
20456,33282,1.0
58823,28370,1.0
58803,32212,1.0
37096,27155,1.0
14930,28497,1.0
41802,32881,1.0
74100,33625,1.0
9414,31216,1.0
26262,27450,1.0
49726,34674,1.0
36198,40067,1.0
15702,37335,1.0
25081,41848,1.0
21006,40393,1.0
3241,49438,1.0
33926,48056,1.0
87880,51252,1.0
55022,42955,1.0
53898,44873,1.0
5233,37194,1.0
67498,46815,1.0
57485,27255,1.0
59189,35376,1.0
94206,32851,1.0
80642,28886,1.0
23628,29707,1.0
93285,29556,1.0
72510,31449,1.0
50893,28813,1.0
44719,28509,1.0
41498,33261,1.0
92221,26850,1.0
93274,36220,1.0
79777,33597,1.0
52494,28206,1.0
76659,26676,1.0
23894,31053,1.0
82968,27065,1.0
34800,34359,1.0
75540,31775,1.0
7099,27964,1.0
1717,29770,1.0
66462,31413,1.0
22548,34956,1.0
16330,27711,1.0
4407,33472,1.0
57609,27640,1.0
29922,35885,1.0
58924,28882,1.0
86358,26991,1.0
27683,31453,1.0
81045,29271,1.0
91838,30180,1.0
63464,29035,1.0
47535,30588,1.0
40340,28522,1.0
2842,28857,1.0
34001,36129,1.0
79589,30062,1.0
66898,33022,1.0
94131,27269,1.0
53615,33294,1.0
87868,27085,1.0
2275,29859,1.0
50270,35584,1.0
57826,36338,1.0
21768,28367,1.0
71580,34242,1.0
70734,31444,1.0
81424,35592,1.0
72199,26649,1.0
49230,30875,1.0
59960,31963,1.0
3647,30068,1.0
5765,32547,1.0
30796,30142,1.0
50267,30640,1.0
38697,27622,1.0
41891,34090,1.0
55185,29317,1.0
32104,33514,1.0
40722,27989,1.0
23355,35882,1.0
18869,35989,1.0
84266,33228,1.0
51195,30662,1.0
45514,36087,1.0
34274,33333,1.0
73420,28113,1.0
77,28232,1.0
72798,27140,1.0
49010,28482,1.0
47855,34237,1.0
8363,30974,1.0
84891,36454,1.0
70542,33383,1.0
36696,35913,1.0
87574,28359,1.0
40776,27577,1.0
19855,26968,1.0
79158,26907,1.0
56156,29619,1.0
48551,28183,1.0
30723,34132,1.0
72371,28973,1.0
10316,34994,1.0
90038,28053,1.0
26792,32596,1.0
57,32737,1.0
73055,30048,1.0
3140,28679,1.0
24195,34845,1.0
54345,32493,1.0
85595,33482,1.0
88750,28109,1.0
22462,32322,1.0
84195,30977,1.0
33844,28331,1.0
80666,30631,1.0
7917,33899,1.0
72917,31018,1.0
21507,28265,1.0
82204,33700,1.0
29730,33606,1.0
4087,31446,1.0
14186,28926,1.0
83911,34367,1.0
92176,35764,1.0
67061,26779,1.0
22536,28814,1.0
67021,29417,1.0
4384,33230,1.0
19288,27343,1.0
73324,30643,1.0
75614,34178,1.0
74824,29207,1.0
21287,34271,1.0
28339,30502,1.0
19473,27011,1.0
2808,27599,1.0
24087,36357,1.0
82398,28364,1.0
65959,28110,1.0
88356,29976,1.0
52621,27867,1.0
85560,31374,1.0
72851,29603,1.0
57604,34898,1.0
64414,27119,1.0
32930,34019,1.0
77107,28799,1.0
84343,29484,1.0
83383,32883,1.0
88106,32329,1.0
48630,29313,1.0
12253,26865,1.0
72085,30883,1.0
2921,27304,1.0
24706,34281,1.0
39783,27488,1.0
73083,27686,1.0
9237,44846,1.0
84694,44739,1.0
534,42420,1.0
40888,41985,1.0
28383,50891,1.0
56442,48861,1.0
12651,36563,1.0
10628,40249,1.0
25272,36911,1.0
24455,45794,1.0
74995,43294,1.0
10679,48160,1.0
90062,41834,1.0
8954,46260,1.0
